iter	Passed	Remaining
0	166	165916
1	167	83498
2	168	56084
3	169	42283
4	171	34036
5	172	28518
6	173	24571
7	174	21621
8	175	19354
9	176	17514
10	178	16007
11	179	14756
12	180	13695
13	181	12788
14	182	11991
15	183	11293
16	184	10691
17	185	10146
18	187	9663
19	188	9221
20	189	8825
21	190	8466
22	191	8135
23	192	7828
24	193	7549
25	194	7292
26	195	7055
27	196	6834
28	197	6624
29	198	6430
30	200	6254
31	201	6085
32	202	5927
33	203	5779
34	204	5636
35	205	5504
36	206	5380
37	207	5261
38	208	5147
39	209	5037
40	210	4934
41	212	4837
42	213	4745
43	214	4659
44	215	4573
45	216	4493
46	217	4415
47	218	4341
48	220	4270
49	221	4199
50	222	4131
51	223	4069
52	224	4008
53	225	3948
54	226	3891
55	227	3833
56	228	3781
57	229	3732
58	231	3687
59	232	3640
60	234	3604
61	236	3570
62	237	3527
63	238	3491
64	240	3454
65	241	3421
66	243	3390
67	244	3350
68	245	3316
69	247	3283
70	248	3248
71	249	3215
72	250	3182
73	251	3151
74	253	3120
75	254	3091
76	255	3062
77	256	3035
78	257	3007
79	259	2986
80	260	2959
81	261	2932
82	262	2904
83	263	2878
84	264	2849
85	265	2824
86	266	2797
87	267	2776
88	269	2753
89	270	2731
90	271	2710
91	272	2689
92	273	2669
93	274	2649
94	276	2629
95	277	2609
96	278	2591
97	279	2572
98	280	2551
99	281	2531
100	282	2512
101	282	2489
102	283	2472
103	285	2455
104	286	2441
105	287	2425
106	288	2411
107	290	2396
108	291	2380
109	292	2364
110	293	2349
111	294	2334
112	295	2319
113	296	2304
114	297	2290
115	298	2274
116	299	2262
117	300	2248
118	301	2233
119	302	2220
120	303	2207
121	304	2194
122	305	2178
123	306	2165
124	307	2153
125	308	2141
126	309	2129
127	310	2115
128	311	2104
129	312	2093
130	313	2082
131	314	2070
132	315	2058
133	316	2047
134	317	2036
135	318	2026
136	320	2015
137	320	2003
138	321	1993
139	323	1984
140	324	1974
141	325	1964
142	326	1954
143	327	1944
144	328	1936
145	329	1928
146	330	1919
147	332	1912
148	333	1905
149	334	1897
150	336	1891
151	337	1882
152	338	1874
153	339	1865
154	340	1856
155	341	1846
156	342	1839
157	343	1831
158	344	1823
159	345	1815
160	346	1807
161	347	1799
162	348	1791
163	349	1784
164	350	1776
165	352	1768
166	353	1761
167	354	1754
168	355	1746
169	356	1739
170	357	1733
171	358	1726
172	359	1718
173	360	1711
174	361	1704
175	362	1698
176	363	1691
177	364	1684
178	365	1677
179	366	1670
180	367	1661
181	368	1654
182	368	1647
183	369	1640
184	370	1634
185	372	1628
186	373	1623
187	374	1617
188	375	1612
189	376	1606
190	377	1600
191	378	1594
192	379	1588
193	380	1582
194	382	1576
195	383	1571
196	384	1565
197	385	1560
198	386	1554
199	387	1549
200	388	1544
201	389	1539
202	390	1534
203	391	1529
204	392	1523
205	393	1518
206	394	1512
207	396	1508
208	397	1502
209	398	1498
210	399	1493
211	400	1489
212	401	1484
213	402	1480
214	404	1475
215	405	1471
216	406	1466
217	407	1461
218	408	1456
219	409	1452
220	410	1447
221	411	1442
222	412	1437
223	413	1433
224	414	1429
225	416	1424
226	417	1420
227	418	1416
228	419	1412
229	420	1408
230	421	1403
231	422	1398
232	423	1393
233	424	1388
234	425	1384
235	426	1379
236	427	1375
237	428	1371
238	429	1367
239	430	1363
240	431	1358
241	432	1354
242	433	1350
243	434	1345
244	435	1341
245	436	1337
246	437	1333
247	438	1329
248	439	1325
249	440	1321
250	441	1317
251	442	1314
252	443	1310
253	445	1307
254	446	1303
255	447	1299
256	448	1295
257	449	1291
258	450	1288
259	451	1284
260	452	1281
261	453	1277
262	454	1274
263	455	1270
264	456	1267
265	457	1263
266	458	1259
267	460	1256
268	461	1253
269	462	1249
270	463	1246
271	464	1242
272	465	1239
273	466	1236
274	467	1233
275	468	1229
276	469	1226
277	471	1223
278	472	1220
279	473	1217
280	474	1214
281	475	1211
282	476	1208
283	477	1204
284	478	1201
285	479	1198
286	480	1194
287	481	1191
288	482	1187
289	483	1184
290	485	1182
291	486	1179
292	487	1176
293	488	1173
294	489	1169
295	490	1166
296	491	1164
297	492	1161
298	493	1157
299	494	1154
300	495	1151
301	496	1148
302	497	1145
303	499	1143
304	500	1140
305	501	1137
306	502	1133
307	503	1130
308	504	1127
309	504	1123
310	506	1122
311	507	1119
312	508	1115
313	509	1112
314	510	1109
315	510	1105
316	511	1102
317	512	1099
318	514	1097
319	515	1094
320	516	1091
321	517	1088
322	517	1085
323	518	1082
324	519	1079
325	520	1076
326	521	1073
327	522	1070
328	523	1067
329	524	1064
330	525	1061
331	526	1058
332	527	1055
333	528	1053
334	529	1050
335	530	1048
336	531	1045
337	532	1043
338	533	1040
339	534	1037
340	535	1034
341	536	1032
342	537	1029
343	538	1026
344	539	1023
345	539	1020
346	540	1017
347	541	1014
348	543	1013
349	544	1010
350	545	1008
351	546	1006
352	547	1003
353	548	1001
354	549	998
355	551	996
356	552	994
357	553	991
358	553	989
359	554	986
360	556	984
361	557	982
362	558	980
363	560	978
364	561	976
365	562	974
366	563	971
367	564	969
368	565	967
369	566	964
370	567	962
371	568	960
372	569	957
373	571	955
374	572	953
375	573	951
376	574	948
377	575	946
378	576	944
379	577	941
380	578	939
381	579	936
382	580	934
383	581	932
384	582	930
385	583	928
386	584	926
387	585	923
388	586	921
389	587	919
390	588	917
391	590	915
392	591	912
393	592	910
394	593	908
395	594	906
396	595	904
397	596	901
398	597	900
399	598	898
400	599	896
401	601	894
402	602	892
403	603	890
404	604	888
405	605	885
406	606	883
407	607	881
408	608	879
409	609	877
410	611	876
411	612	873
412	613	871
413	614	869
414	615	867
415	616	865
416	617	863
417	618	861
418	619	859
419	620	857
420	622	855
421	623	853
422	624	851
423	625	850
424	626	848
425	627	846
426	629	844
427	630	841
428	630	839
429	631	837
430	632	835
431	634	833
432	635	831
433	636	829
434	637	827
435	638	825
436	639	823
437	640	821
438	641	819
439	642	817
440	643	815
441	644	813
442	645	811
443	646	809
444	647	807
445	648	805
446	649	804
447	651	802
448	652	800
449	653	798
450	654	796
451	655	794
452	656	792
453	657	791
454	658	789
455	659	787
456	661	785
457	662	783
458	663	781
459	664	779
460	665	777
461	666	776
462	667	774
463	668	772
464	669	770
465	670	768
466	671	766
467	673	765
468	674	763
469	675	761
470	676	759
471	677	757
472	678	755
473	679	753
474	680	751
475	681	750
476	682	748
477	684	747
478	685	745
479	686	743
480	687	742
481	689	740
482	690	738
483	691	737
484	692	735
485	693	733
486	694	732
487	696	730
488	697	728
489	698	727
490	699	725
491	701	723
492	702	722
493	703	720
494	703	718
495	704	716
496	705	714
497	706	712
498	707	710
499	708	708
500	709	706
501	710	704
502	711	703
503	712	701
504	713	699
505	714	697
506	715	696
507	716	694
508	717	692
509	718	690
510	720	689
511	721	687
512	722	685
513	723	683
514	724	682
515	725	680
516	726	678
517	727	677
518	728	675
519	729	673
520	731	672
521	732	670
522	733	668
523	734	667
524	735	665
525	736	663
526	737	661
527	738	660
528	739	658
529	741	657
530	742	655
531	743	654
532	745	652
533	746	651
534	747	649
535	748	648
536	749	646
537	751	645
538	752	643
539	753	641
540	754	640
541	755	638
542	756	637
543	757	635
544	759	633
545	760	632
546	761	630
547	762	628
548	763	626
549	764	625
550	765	623
551	766	621
552	767	620
553	768	618
554	769	617
555	770	615
556	771	613
557	773	612
558	774	610
559	775	608
560	775	607
561	776	605
562	777	603
563	778	602
564	779	600
565	781	599
566	782	597
567	783	596
568	784	594
569	785	592
570	786	591
571	788	589
572	789	588
573	790	586
574	791	584
575	792	583
576	793	581
577	794	580
578	795	578
579	796	577
580	798	575
581	799	574
582	800	572
583	801	570
584	802	569
585	803	567
586	805	566
587	806	564
588	807	563
589	808	561
590	809	560
591	810	558
592	811	556
593	812	555
594	813	553
595	814	552
596	816	550
597	817	549
598	818	547
599	819	546
600	820	544
601	821	543
602	822	541
603	824	540
604	825	538
605	826	537
606	827	535
607	828	534
608	830	532
609	831	531
610	832	529
611	833	528
612	834	527
613	835	525
614	836	523
615	838	522
616	839	521
617	840	519
618	841	517
619	842	516
620	843	514
621	844	513
622	845	511
623	846	510
624	847	508
625	848	507
626	849	505
627	850	503
628	851	502
629	852	500
630	853	499
631	854	497
632	855	496
633	856	494
634	857	493
635	858	491
636	859	490
637	860	488
638	862	487
639	863	485
640	864	483
641	865	482
642	866	481
643	867	479
644	868	478
645	869	476
646	871	475
647	872	473
648	873	472
649	874	470
650	875	469
651	876	467
652	877	466
653	878	464
654	879	463
655	880	461
656	882	460
657	883	459
658	884	457
659	885	456
660	886	454
661	887	453
662	888	451
663	890	450
664	891	448
665	892	447
666	893	446
667	894	444
668	895	443
669	896	441
670	897	440
671	898	438
672	899	437
673	900	435
674	902	434
675	903	432
676	904	431
677	905	429
678	906	428
679	907	426
680	908	425
681	909	424
682	910	422
683	911	421
684	912	419
685	913	418
686	914	416
687	915	415
688	916	413
689	917	412
690	919	410
691	920	409
692	921	408
693	922	406
694	923	405
695	924	403
696	925	402
697	926	401
698	927	399
699	928	398
700	930	396
701	931	395
702	932	393
703	933	392
704	934	391
705	935	389
706	936	387
707	937	386
708	938	385
709	939	383
710	940	382
711	941	380
712	942	379
713	943	378
714	944	376
715	946	375
716	947	373
717	948	372
718	949	370
719	950	369
720	951	368
721	952	366
722	953	365
723	954	363
724	955	362
725	956	361
726	958	359
727	959	358
728	960	356
729	961	355
730	962	354
731	963	352
732	964	351
733	965	349
734	966	348
735	968	347
736	969	346
737	970	344
738	971	343
739	972	341
740	973	340
741	975	339
742	976	337
743	977	336
744	978	334
745	979	333
746	980	332
747	981	330
748	983	329
749	984	328
750	985	326
751	986	325
752	987	323
753	988	322
754	989	321
755	990	319
756	991	318
757	992	316
758	993	315
759	994	314
760	996	312
761	997	311
762	998	310
763	999	308
764	1000	307
765	1001	306
766	1002	304
767	1003	303
768	1005	301
769	1006	300
770	1007	299
771	1008	297
772	1009	296
773	1010	295
774	1011	293
775	1012	292
776	1013	291
777	1014	289
778	1016	288
779	1017	286
780	1018	285
781	1019	284
782	1020	282
783	1021	281
784	1022	280
785	1023	278
786	1024	277
787	1025	276
788	1027	274
789	1028	273
790	1029	271
791	1030	270
792	1031	269
793	1032	267
794	1033	266
795	1034	265
796	1035	263
797	1037	262
798	1038	261
799	1039	259
800	1040	258
801	1041	257
802	1042	255
803	1043	254
804	1044	253
805	1045	251
806	1046	250
807	1047	248
808	1048	247
809	1049	246
810	1050	244
811	1051	243
812	1052	242
813	1054	240
814	1055	239
815	1056	238
816	1057	236
817	1058	235
818	1059	234
819	1061	232
820	1062	231
821	1063	230
822	1064	228
823	1065	227
824	1066	226
825	1067	224
826	1068	223
827	1069	222
828	1070	220
829	1071	219
830	1072	218
831	1073	216
832	1074	215
833	1075	214
834	1076	212
835	1077	211
836	1079	210
837	1080	208
838	1081	207
839	1082	206
840	1083	204
841	1084	203
842	1085	202
843	1086	200
844	1087	199
845	1088	198
846	1089	196
847	1091	195
848	1092	194
849	1093	192
850	1094	191
851	1095	190
852	1096	188
853	1097	187
854	1098	186
855	1099	184
856	1100	183
857	1101	182
858	1102	180
859	1103	179
860	1104	178
861	1106	177
862	1107	175
863	1108	174
864	1109	173
865	1110	171
866	1111	170
867	1112	169
868	1114	167
869	1115	166
870	1116	165
871	1117	164
872	1118	162
873	1119	161
874	1121	160
875	1122	158
876	1123	157
877	1124	156
878	1125	154
879	1127	153
880	1128	152
881	1129	151
882	1130	149
883	1132	148
884	1133	147
885	1134	145
886	1135	144
887	1136	143
888	1137	142
889	1138	140
890	1140	139
891	1141	138
892	1142	136
893	1143	135
894	1144	134
895	1145	133
896	1147	131
897	1148	130
898	1150	129
899	1151	127
900	1152	126
901	1153	125
902	1155	124
903	1156	122
904	1157	121
905	1158	120
906	1159	118
907	1160	117
908	1162	116
909	1163	115
910	1164	113
911	1165	112
912	1167	111
913	1167	109
914	1168	108
915	1169	107
916	1170	105
917	1171	104
918	1172	103
919	1173	102
920	1174	100
921	1175	99
922	1176	98
923	1177	96
924	1178	95
925	1179	94
926	1179	92
927	1180	91
928	1181	90
929	1183	89
930	1184	87
931	1185	86
932	1186	85
933	1187	83
934	1188	82
935	1189	81
936	1190	80
937	1191	78
938	1192	77
939	1193	76
940	1194	74
941	1195	73
942	1197	72
943	1199	71
944	1200	69
945	1201	68
946	1202	67
947	1203	66
948	1204	64
949	1205	63
950	1207	62
951	1209	60
952	1210	59
953	1211	58
954	1213	57
955	1214	55
956	1215	54
957	1216	53
958	1217	52
959	1219	50
960	1220	49
961	1221	48
962	1223	46
963	1224	45
964	1225	44
965	1226	43
966	1227	41
967	1229	40
968	1230	39
969	1231	38
970	1232	36
971	1233	35
972	1234	34
973	1235	32
974	1236	31
975	1237	30
976	1238	29
977	1240	27
978	1241	26
979	1242	25
980	1243	24
981	1244	22
982	1245	21
983	1246	20
984	1248	19
985	1249	17
986	1250	16
987	1251	15
988	1252	13
989	1253	12
990	1254	11
991	1255	10
992	1256	8
993	1257	7
994	1259	6
995	1260	5
996	1261	3
997	1262	2
998	1263	1
999	1264	0
